Code client;Nom client;adresse livraison
080121;ASAHI FRANCE;10 RUE DU FOUBOURG POISSONNIERE, 75010 PARIS 10EME ARRONDISSEMENT
004718;ASS DES CHASSEURS DE LA VALLEE DE L'YERS;10 RUE POTEAU ISABELLE, 76260 MONCHY SUR EU
003986;CH ST AMAND - MAGASIN CENTRAL;10 VOIE DOLLENTE, 59230 ST AMAND LES EAUX
002623;COMMUNAUTE AGGLOMERATION BETHUNE BRUAY;100 AV DE LONDRES CS40548, 62400 BETHUNE
001561;LE MUSIC BANDE'S DE TOURCOING;100 RUE DE LILLE, 59200 TOURCOING
002262;TEREOS FRANCE;100 RUE DE VERDUN, 62190 LILLERS
002263;TEREOS FRANCE;100 RUE DE VERDUN, 62190 LILLERS
003469;TEREOS FRANCE;100 RUE DE VERDUN, 62190 LILLERS
004231;CAP DES TERRITOIRES HAUTS DE FRANCE;100 RUE DU GENERAL LECLERC, 59350 ST ANDRE LEZ LILLE
004693;MONOPRIX EXPLOITATION;1002 AVENUE DE LA RÉPUPLIQUE, 59700 MARCQ EN BAROEUL
004682;CAP DES TERRITOIRES HAUTS DE FRANCE;102 AVENUE DU PONT ROUGE, 59440 AVESNES SUR HELPE
200153;GUIOT SAS;102 RUE ETIENNE BANCEL, 59970 FRESNES SUR ESCAUT
002006;CENTRE COMMUNAL D'ACTION SOCIALE;102 RUE LEON BLUM, 62260 AUCHEL
004025;L'OLIVIER;104 AVENUE DE LA REPUBLIQUE, 59110 LA MADELEINE
004004;LE ROMARIN;104 AVENUE DE LA REPUBLIQUE, 59110 LA MADELEINE
000416;PORTENART SYLVIE CAFE DE LA PLACE;104 RUE DE LA PLACE, 62129 ECQUES
004711;PROMOCASH SAINT LO;1049 ROUTE DE CARENTAN, 50000 ST LO
004058;ETS GOSSET;1050 ROUTE DE FREVENT, 62810 AVESNES LE COMTE
630413;BRASSERIE DES 3 CLOCHERS;1059 RUE DE DERRIERE, 62136 LESTREM
002229;PLAN B - SARL ADVENTURINE;106 BIS RUE DE METZ, 62520 LE TOUQUET PARIS PLAGE
004743;EL MONTUNO CAFE BRASSERIE;106 RUE DU BLANC SEAU, 59200 TOURCOING
002277;DEPARTEMENT DU NORD;106 RUE PIERRE LEGRAND, 59000 LILLE
004123;AMICALE CASERNE GARIN;107 RUE D'ELBEUF, 80000 AMIENS
004699;CAP DES TERRITOIRES HAUTS DE FRANCE;108 RUE DES MEUNIERS, 59000 LILLE
001711;ASSOCIATION SPORT ADAPT;108 RUE DU PONT DES MEUNIERS, 59190 HAZEBROUCK
200998;CAT LES ATELIERS DU PONT DES MEUNIERS;108 RUE DU PONT DES MEUNIERS, 59190 HAZEBROUCK
071022;DUPONT RESTAURATION SA;108 RUE PONT DES MEUNIERS, 59190 HAZEBROUCK
003592;ETS PENNERATH;109 RUE DE BOUCHEPORN, 57890 PORCELETTE
000835;EHPAD RESIDENCE DU PAYS DE MORMAL;11 AVENUE DU MARECHAL FOCH, 59550 LANDRECIES
004562;CAMPING AU BORD DE L'AUTHIE;11 BIS ROUTE D'ALBERT, 80600 AUTHIEULE
900737;MAXIME GILLIERON;11 ROUTE DE RAMBLUZIN, 55220 RECOURT LE CREUX
001801;EPDSAE - MEF DU VALENCIENNOIS;11 RUE ALPHONSE DELBOVE, 59163 CONDE SUR L ESCAUT
004479;EPICERIE DE TARTOUS;11 RUE D'AVERDOINGT, 62127 MAIZIERES
004480;SOCIETE DE CHASSE;11 RUE D'AVERDOINGT, 62127 MAIZIERES
004389;ANCIENS COMBATTANTS;11 RUE D’AVERDOINGT, 62127 MAIZIERES
000634;LE LONGCHAMP - FASQUEL VINCENT;11 RUE DE CASSEL, 59270 BAILLEUL
055000;AU RÉCONFORT - CAROLINE PRUVOT;11 RUE DE L'EGLISE, 62380 VAUDRINGHEM
002470;ESTAMINET DU CENTRE SARL BEERSTAMINET;11 RUE DE STEENVOORDE, 59270 GODEWAERSVELDE
004700;CAP DES TERRITOIRES HAUTS DE FRANCE;11 RUE DE TOUL, 59000 LILLE
003386;EFES - SAS OZCAN;11 RUE DES CARMES, 62130 ST POL SUR TERNOISE
001871;GOLF PARK EXPLOITATION BETHUNE;11 RUE DU DOCTEUR DHENIN, 62400 BETHUNE
003551;RESTAURANT ORTIE;11 RUE DU DOYEN, 62200 BOULOGNE SUR MER
000823;RESIDENCE LES VERTES ANNEES;11 RUE DU GENERAL LECLERC, 59212 WIGNEHIES
002371;GDB;11 RUE FRANCOIS ARAGO, 78990 ELANCOURT
004034;ASL CANOE KAYAK ST LAURENT BLANGY;11 RUE MARCEL LEBLANC, 62223 ST LAURENT BLANGY
004664;CAP DES TERRITOIRES HAUTS DE FRANCE;11 RUE THIERS, 59350 ST ANDRE LEZ LILLE
201220;EPDSAE - MEF AVESNOIS;11 SQUARE DE LA MADELEINE, 59440 AVESNES SUR HELPE
200499;FOYER DE VIE LE BEL ARBRE;11 TER RUE GABRIEL PERI, 59910 BONDUES
004172;LA GOELETTE;110 BOULEVARD SAINTE-BEUVE, 62200 BOULOGNE SUR MER
004483;CENTRE HOSPITALIER DE ROUBAIX;110 RUE DE BEAUMONT, 59100 ROUBAIX
004257;ESTAMINET LE ST ELOI;110 RUE DE L'EGLISE, 62250 BAZINGHEN
004484;CENTRE HOSPITALIER DE ROUBAIX;110 RUE PIERRE DE COUBERTIN, 59100 ROUBAIX
004137;SAS HOTEL DU PARC - HEBERGEMENT;111 AVENUE FRANCOIS 1ER, 62152 NEUFCHATEL HARDELOT
003283;GAMM VERT ABBEVILLE;111 ROUTE D'AMIENS, 80100 ABBEVILLE
000820;CORA BRUAY LA BUISSIERE - BRM;1115 RUE DE LA LIBERATION, 62700 BRUAY LA BUISSIERE
002593;LE ST PRY MR GONIN LAURENT ET ISABELLE;112 AVENUE DU MARECHAL JUIN, 62400 BETHUNE
003777;CAP DES TERRITOIRES HAUTS DE FRANCE;112 RUE DU XXE SIECLE, 59160 LOMME
001667;EPSM LILLE METROPOLE - GRAMFI;112 RUE SADI CARNOT, 59280 ARMENTIERES
002285;DEPARTEMENT DU NORD;113 RUE DE LOMPREZ, 59300 VALENCIENNES
003661;BAR TABAC LA BUTTE;114 RUE DE CAGNY, 80000 AMIENS
000650;LA CAVE DE SAINT ARNOULD- TRIPLET CAROLE;114 RUE DE CALAIS, 62500 ST OMER
001321;EPDEF;114 RUE DENIS PAPIN, 62800 LIEVIN
003389;SICAP SA GV FRESSENNEVILLE;115 RUE HENRI BARBUSSE, 80390 FRESSENNEVILLE
003145;BISCUITS DELACRE SA;116 RUE DE BELLEVUE, 59850 NIEPPE
004456;LE MAGNOLIA;1162 BOULEVARD EDMOND LABRASSE, 62780 STELLA
004196;EURL LE PEP'S;118 RUE DU MARECHAL FOCH, 59120 LOOS
003699;G3D DEMOLITION;118 RUE SULLY, 80000 AMIENS
003698;G3D DESAMIANTAGE;118 RUE SULLY, 80000 AMIENS
003982;CARROSSERIE BETHUNOISE KLS;119 B RUE JEAN JAURES, 62131 VERQUIN
095230;LA VINIGRAPP;12 BOULEVARD BROSSOLETTE, 02000 LAON
030080;SASU JEAN PHILIPPE GUILLOT;12 BOULEVARD DU PARC, 69910 VILLIE MORGON
053300;DELPLACE JEROME;12 IMPASSE DES ETANGS, 62910 HOULLE
002065;LE GLOBE - MR STEPHANE BOTTE;12 PLACE D'ARMES, 62140 HESDIN
004591;CAFE DE L'ABBAYE;12 PLACE DE L'EGLISE, 80135 ST RIQUIER
202221;ASSOCIATION DES BUVEURS SPRITZ;12 PLACE DROUET D'ERLON, 51100 REIMS
004488;IT TRATTORIA - ROMA;12 PLACE GAMBETTA, 80000 AMIENS
002782;DOM POLSKI;12 PLACE JEAN JAURES, 62110 HENIN BEAUMONT
451741;MARONGIN JEAN CLAUDE;12 PLACE LEON GUILLEMIN, 62120 AIRE SUR LA LYS
054440;LA BONNE FRANQUETTE ARQUES;12 PLACE ROGER SALENGRO, 62510 ARQUES
002333;LA SAPINIERE REST HOTEL MR RETAUX;12 ROUTE DE SETQUES, 62219 WISQUES
002727;VOIES NAVIGABLES DE FRANCE;12 ROUTE NATIONALE, 62860 MARQUION
004092;PAYEN TRAITEUR;12 RUE CARON, 62111 MONCHY AU BOIS
002331;LE CHAI DES TERROIRS - SODIVEST;12 RUE DE LA LIBERTE, 62144 ACQ
451489;STYLE ' DANCE;12 RUE DE LILLETTE, 62120 NORRENT FONTES
