Code client;Nom client;adresse livraison;Latitude;Longitude
4513;CAP DES TERRITOIRES HAUTS DE FRANCE;30 RUE GAMBETTA, 59280 ARMENTIERES;50,6826375;2,8851617
40141;AUBERGE DE LA FORET - MR YVES MARTIN;PLACE AMAURY LA GRANGE, 59190 LA MOTTE AU BOIS MORBECQUE;50,6823099;2,572471
1668;EPSM LILLE METROPOLE - GRAMFI;RUE DU GENERAL LECLERC, 59280 ARMENTIERES;50,6822036;2,883088
853409;LE GRAIN D'ORGE - MR ET MME LO GUIDICE;1 RUE DE WATTRELOS, 59115 LEERS;50,6820815;3,2445752
1363;EPSM AGGLOMERATION LILLOISE (BONNAFE);140 RUE DE CHARLEROI, 59100 ROUBAIX;50,681963;3,200198
4078;LA LOCOMOTIVE - A.VARET LJ 03/2025;140 BIS RUE DE LA GARE, 59189 STEENBECQUE;50,681528;2,5107333
1069;AUCHAN HYPERMARCHE SAS;1 AVENUE DE L EUROPE, 59115 LEERS;50,6811705;3,2184918
4483;CENTRE HOSPITALIER DE ROUBAIX;110 RUE DE BEAUMONT, 59100 ROUBAIX;50,680785;3,1752042
4631;BO JARDIN - CODE COMPTABLE;AVENUE LE NOTRE, 59100 ROUBAIX;50,6807001;3,1669174
4484;CENTRE HOSPITALIER DE ROUBAIX;110 RUE PIERRE DE COUBERTIN, 59100 ROUBAIX;50,6804038;3,2107585
3519;GARDEN FOOD ROUBAIX;7 PARVIS SAINT JEAN BAPTISTE, 59100 ROUBAIX;50,6798312;3,1793294
450260;GARAGE DAUCHEZ HADRIEN;1 RUE DU STADE, 62120 QUIESTEDE;50,6790969;2,3283821
1547;RESIDENCE PAUL CORDONNIER;RUE MAURICE GENEVOIX, 59700 MARCQ EN BAROEUL;50,6786102;3,0951218
2566;EPDSAE - MEF ROUBAIX TOURCOING;1 RUE PAUL WANTE, 59100 ROUBAIX;50,677789;3,186082
576;MARPA DU PAYS DE LUMBRES;1 RUE DE LA GARE, 62380 NIELLES LES BLEQUIN;50,6768471;2,0355654
